                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3322,                 2.8429,                 1.6465,                0.87824,                0.84663,                0.94222,                0.65045,                 1.0998,                 1.6567,                  1.613,             0.00032749,             0.00032749,             0.00032749
                      2,                 1.2168,                   1.49,                 1.6044,                0.56869,                0.47599,                 0.4975,                0.32301,                 1.6076,                 9.3836,                 2.4221,             0.00065428,             0.00065428,             0.00065428
                      3,                 1.2416,                 1.3655,                  1.652,                0.60121,                0.78149,                0.67731,                0.42532,                 1.4812,                 5.4502,                  2.229,             0.00097447,             0.00097447,             0.00097447
                      4,                 1.2513,                 1.2517,                 1.6669,                0.84702,                0.78937,                0.86663,                0.62675,                 1.1317,                 1.3694,                 1.8388,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.2559,                 1.1603,                 1.6622,                0.94004,                0.86829,                0.95495,                  0.706,                 1.0574,                 1.6904,                 1.8732,              0.0009703,              0.0009703,              0.0009703
                      6,                 1.2251,                 1.2044,                 1.6444,                  0.715,                0.68486,                 0.7973,                0.48556,                 1.2563,                 1.4613,                 1.9853,              0.0009604,              0.0009604,              0.0009604
                      7,                 1.1638,                 1.0419,                 1.5911,                0.88518,                0.84229,                0.92356,                0.62192,                 1.1788,                  1.003,                 1.9857,              0.0009505,              0.0009505,              0.0009505
                      8,                 1.1845,                 1.0183,                 1.6287,                0.92953,                0.81065,                0.92383,                0.68267,                 1.0147,                0.82681,                 1.8073,              0.0009406,              0.0009406,              0.0009406
                      9,                 1.1457,                0.94943,                 1.5882,                0.95205,                0.95675,                 0.9849,                0.69674,                 1.0675,                0.65132,                 1.8222,              0.0009307,              0.0009307,              0.0009307
                     10,                 1.1097,                0.97406,                 1.5568,                0.85774,                0.84402,                0.94086,                0.63311,                 1.2502,                 1.3312,                 2.1255,              0.0009208,              0.0009208,              0.0009208
                     11,                 1.1073,                0.92877,                 1.5509,                0.97352,                0.94965,                0.97203,                0.72026,                 1.0343,                0.61925,                 1.7759,              0.0009109,              0.0009109,              0.0009109
                     12,                  1.095,                0.87496,                 1.5464,                0.96783,                0.93579,                0.97389,                0.74306,                0.93017,                 0.5856,                 1.6844,               0.000901,               0.000901,               0.000901
                     13,                 1.0712,                0.83257,                 1.4977,                0.97162,                0.98989,                  0.995,                 0.7613,                0.95545,                0.49991,                  1.736,              0.0008911,              0.0008911,              0.0008911
                     14,                  1.086,                0.83712,                 1.5417,                 0.9697,                0.99476,                  0.995,                0.78869,                0.88017,                0.47098,                 1.6267,              0.0008812,              0.0008812,              0.0008812
                     15,                 1.0377,                0.79154,                 1.5018,                0.98935,                0.97142,                  0.995,                0.78461,                0.85559,                0.45141,                 1.5881,              0.0008713,              0.0008713,              0.0008713
                     16,                 1.0196,                0.76208,                 1.4694,                0.95933,                 0.9611,                0.99208,                0.78673,                0.88463,                0.48302,                 1.6537,              0.0008614,              0.0008614,              0.0008614
